Sales_Amount,Units_Sold,Discount,Customer_Rating
1442.4710135623918,6,0.280327787439623,1.0278844620539767
5475.0458853380305,4,0.16779136435732306,2.7686461791317445
6438.991309716786,3,0.29571858939845735,1.7954448550698952
4824.197627691576,9,0.08411189561324123,2.6077950702335677
3299.236160816641,5,0.2833494890679745,2.265709422842136
4701.413216766972,19,0.31632364592636136,2.1722908145131616
3868.7292240502456,7,0.15639620813116406,2.832093048493653
6094.696198531346,10,0.25382699800657127,1.1860823999409926
5065.00104579372,12,0.06843577697153141,4.795855756367707
7757.279570205573,7,0.10583420303288782,3.788777847463055
2567.035790069374,3,0.23970310113746618,4.6793874697302735
5667.128150804271,15,0.3779328185937346,2.485861040314331
7158.2749016468215,2,0.12157776982735469,1.0817729403444143
824.1548861737592,2,0.33581033148541894,4.866228993608413
5495.927633856193,13,0.014648961205401989,4.467287365778471
4788.796693099491,11,0.49728954703318506,4.539089424088855
4905.65966591531,1,0.15485721701463606,1.5952840257947423
3873.6896982134836,11,0.27163096199464365,3.22457268671385
4259.338325417989,8,0.39056132965672996,3.3725857349699737
4092.2876844420207,1,0.30060504739124194,4.4723323267880115
5107.428620117654,8,0.18297854349128312,1.719825999254362
4958.963039309467,1,0.41579717040438846,4.160613275061004
6716.935553597222,6,0.036726021986299984,3.8142848983188182
5086.238603942518,15,0.0963362879737158,3.742333680273853
3632.843739327335,1,0.4718260725685345,3.106406509968222
3672.8370973500478,10,0.1690364385910038,3.597242223240012
5102.586111465069,11,0.26043152683507753,2.7701435925009132
5389.582437649376,20,0.44340661238170603,4.885236123117002
6435.0222549589125,4,0.1513924643807546,4.633971770519045
4111.686453667054,18,0.459441234814931,3.2622081467686557
5239.073352002124,9,0.41874623243220266,3.33886885819594
8451.53684229642,11,0.3899532471400027,3.446022035656438
5287.023424531914,17,0.35031816131303695,3.8298050464145517
3941.1975617160388,17,0.010397735046508705,1.3723691415744521
2767.489816313772,14,0.06182486270620269,1.538628132710294
4278.295527779976,20,0.2590899613082483,1.4137971690571272
4985.828596586455,6,0.44101123066014,2.449752054819406
4850.764253886374,9,0.30527442945371924,4.786868108478826
4134.71991289874,13,0.3296060942010555,4.879926060339439
4527.2125218430565,20,0.09454705494966942,2.0806724043024563
1434.2358277133658,12,0.26014211561852674,1.5963403168071881
3264.0689940340117,16,0.26366556706559746,3.4248773039456912
5392.713969530122,15,0.37410854413784655,4.368607945635274
5351.180714031221,11,0.27771522628714573,2.0545715539191693
4539.663869703124,4,0.206161379364376,4.9265377952673735
5563.629100382853,7,0.24661019599820805,2.748655069934165
6957.463641733673,17,0.4218858443490406,2.8262691709846615
4500.413142581608,19,0.13609236624121746,1.9260586291925925
4658.518413342997,1,0.23996662523124906,2.9125550722009166
4221.592059880841,7,0.35769649373650997,2.5579939751860437
4346.021509046247,18,0.34679796956828896,4.57019729826898
5580.807367028828,13,0.3001475738565472,3.221589651665485
2636.771296772154,16,0.033226523396523655,4.650182464241201
5039.174323290973,9,0.19792424215859405,2.349041861876655
3374.0057403114033,16,0.09634461323357774,3.847484923449209
5336.512480699392,9,0.4319337960732497,2.554210158808821
6839.260796158366,13,0.03086299953539917,3.034745919292965
4033.6279352811043,7,0.347575625301737,3.831782131736158
4127.45049854251,17,0.09675438412513881,3.540273020277586
2659.0745930241233,18,0.19573520809672973,4.705400018152073
6543.246301178092,5,0.34384531550759734,4.292611235966499
5380.123808757758,14,0.07833840499571809,1.5314617995969337
1909.1110568146614,8,0.4503072437646171,4.537988760780292
3853.878716660037,9,0.12191983438555853,2.9304826291817183
6233.9132621115505,13,0.274809881079574,4.266189327991282
2681.100794046891,7,0.3808416247592918,4.336965271431495
4280.233197227139,5,0.3474328680612805,1.170370824372593
6794.822850131064,3,0.4301925138426038,3.536566201840167
4074.1558310446935,6,0.2635761654297753,1.3780663886664022
7570.851566813541,5,0.08418740141155945,3.2658033851191592
3342.4585499249597,17,0.04591087375432151,2.2697998345535706
3413.1865620171466,20,0.19519479098535003,2.1969136727632983
6542.785415448443,13,0.1858896072716072,1.4476776923756187
4161.850769332618,10,0.11911257429638306,3.288863759917049
5934.453107563822,10,0.2685080259052207,3.2806212187818318
2769.136837021472,5,0.2023261997125751,1.03016040047601
5752.254550243447,17,0.25950968932396284,1.0982631375452865
4548.965430859959,4,0.011970775804048817,2.127532362900494
5010.486556488608,8,0.3001806575886548,4.16244622827079
6292.812865570643,17,0.28084549818386273,1.3354237645293416
